Gene dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP
ACSL3 0 0 7.10114e-06 2.13835769228969e-06 0.0610853945222073 0.00184449135406258
ACSL5 0 0 6.3562e-06 1.96464868727232e-06 0.0785222945571564 0.00236975594497699
ACSL6 0 0 7.97776e-06 2.40128000886643e-06 0.0436689493185772 0.00131929050494519
ACSM1 0 0 1.53003e-06 1.77909724205067e-06 0.209200442594564 0.00628874292135791
ACSM2A 0 0 1.54734e-06 2.1581761561853e-06 0.159037108948337 0.00478801061398784
ACSM2B 0 0 1.35597e-06 2.16255018729173e-06 0.164103675595691 0.00493979243227566
ACSM3 0 0 4.41505e-06 1.8568105713051e-06 0.118642926088089 0.00357624246471707
ACSM4 0 0 1.04146e-10 1.73768662173863e-06 0.284486835113575 0.00853260504039252
ACSM5 0 0 4.43104e-06 1.62664342539793e-06 0.139531331205108 0.00420323316633369
ACSS1 0 1 8.79657e-06 1.8429381381756e-06 4.78530189840389 0.126454911274898
ACSS2 0 0 8.83546e-06 1.97943565535435e-06 0.0510992539347883 0.00154342231322145
ACSS3 0 0 5.43732e-06 1.83191721991759e-06 0.101126477453521 0.00304985612923146
ACTA1 0 0 1.85227e-06 7.9472013035454e-07 0.401137952719574 0.0119893711084248
ACTA2 0 0 1.04146e-10 9.28874509028565e-07 0.509223455972192 0.0151708642184347
ACTB 0 0 1.04146e-10 6.11804830205345e-07 0.640655180714001 0.019012054304022
ACTBL2 0 0 1.04146e-10 6.86552631526265e-07 0.606856917245037 0.0180271397031549
ACTC1 0 0 1.04146e-10 6.17026450101125e-07 0.638233279994325 0.0189415434580025
ACTG1 0 0 1.04146e-10 9.10489465014875e-07 0.516037355048211 0.0153707446845217
ACTG2 0 0 1.04146e-10 8.4393437238282e-07 0.541487352447676 0.0161165837909536
ACTL10 0 0 1.2473e-06 3.35244592893949e-07 0.624315536643771 0.0185361478390317
ACTL6A 0 0 2.84944e-06 1.23191493108438e-06 0.244832293144428 0.00735199170889978
ACTL6B 0 0 4.91297e-06 1.63136664617172e-06 0.127864092757308 0.00385312423027694
ACTL7A 0 0 4.02737e-06 6.80155603764895e-07 0.296344846610064 0.00888510197198959
ACTL7B 0 0 1.67978e-07 4.3227659496182e-07 0.707786857523067 0.0209624895223473
ACTL8 0 0 9.06025e-07 6.776485141164e-07 0.517881224207045 0.0154248192143865
ACTL9 0 0 7.69216e-07 5.3587650992674e-07 0.588397819863656 0.017488387982049
ACTN1 0 0 1.44597e-05 2.77935932277808e-06 0.0116005265632444 0.000350805469601056
ACTN1-AS1 0 0 1.04146e-10 1.36780807540658e-07 0.905003756463283 0.0266478041395103
ACTN2 0 0 1.41834e-05 2.22587158238494e-06 0.0179625003763921 0.000543090114799768
ACTN3 0 0 1.04146e-10 9.13820183842555e-07 0.514796090991973 0.0153343392062972
ACTN4 0 0 1.15614e-05 2.26669071938485e-06 0.0265710913279213 0.000803158901945049
ACTR10 0 0 2.08455e-06 1.17195652247144e-06 0.292987207254617 0.00878531661608888
ACTR1A 0 0 5.10889e-06 1.53291509212562e-06 0.132641119718723 0.00399650237815208
ACTR1B 0 0 7.21523e-06 1.41281031836043e-06 0.100758549362842 0.0030387935682081
ACTR2 0 0 1.74723e-06 1.55849404820161e-06 0.235677740128929 0.00707903854573922
ACTR3 0 0 4.1531e-06 1.28419301184882e-06 0.187366987646597 0.00563610988877749
ACTR3B 0 0 1.04146e-10 1.36809311237716e-06 0.370965103807437 0.0110975609487163
ACTR3C 0 0 1.21658e-06 8.09317600753625e-07 0.445046413689326 0.0132842910139541
ACTR5 0 0 5.58683e-06 1.25844953597033e-06 0.148773574566015 0.00448039853191035
ACTR6 0 0 3.26505e-06 1.22436617557051e-06 0.228696496826046 0.00687078411793181
ACTR8 0 0 4.18079e-06 2.23306774721882e-06 0.094468893828315 0.00284964336932456
ACTRT2 0 0 3.43681e-06 3.75514094332561e-07 0.410168173441176 0.0122559620767617
ACTRT3 0 0 2.51221e-06 4.33786565824588e-07 0.463183740832986 0.0138181952260896
ACVR1 1 0 4.07681e-06 1.41002831152995e-06 3.71353091195633 0.100992974160538
ACVR1B 0 0 6.33635e-06 1.55255940702862e-06 0.105855615563806 0.003192026132692
ACVR1C 0 0 4.02102e-06 1.45011208237514e-06 0.170174493755776 0.005121598184228
ACVR2A 0 0 3.17204e-06 1.30009523550187e-06 0.220145899999049 0.00661559593610513
ACVR2B 0 0 3.95202e-06 1.42437629630485e-06 0.175463690869608 0.0052799422029682
ACVR2B-AS1 0 0 1.04146e-10 4.87636802626346e-08 0.965012187523181 0.0283646315284791
ACVRL1 0 0 2.94548e-06 1.14730806534261e-06 0.255833673132573 0.00767981159935817
ACY1 0 0 4.5929e-06 1.07529597118283e-06 0.201713555782269 0.0060650457595912
ACY3 0 0 1.99288e-06 7.9149890819815e-07 0.39206556977505 0.0117213904693418
ACYP1 0 0 1.04146e-10 2.8690970118746e-07 0.811246387444369 0.02395324898354
ACYP2 0 0 1.04146e-10 2.59509493065367e-07 0.827591287037183 0.0244240690746165
ADA 0 0 4.1246e-06 1.0782123812045e-06 0.218452476005773 0.00656504100560072
ADAD1 0 0 2.74837e-06 1.52143651727784e-06 0.202394429631036 0.00608539343137876
ADAD2 0 0 3.04772e-06 1.28427635698416e-06 0.227623021032937 0.00683875397983016
ADAL 0 0 1.4439e-06 9.27689519142255e-07 0.392107873338006 0.0117226403720853
ADAM10 0 0 4.30156e-06 2.08528914115222e-06 0.102780093515127 0.00309957267390172
ADAM11 0 0 9.11841e-06 2.86735014497929e-06 0.0259139596697677 0.000783311477634841
ADAM12 0 0 6.65018e-06 2.49079188328926e-06 0.0513146890159876 0.00154991931515994
ADAM15 0 0 2.85672e-06 3.18542626451958e-06 0.0607041957846177 0.00183300204528702
ADAM17 0 0 4.79118e-06 2.09247957248535e-06 0.0938853345714702 0.00283209022441572
ADAM18 0 0 2.2436e-06 1.70984254684415e-06 0.193436559112996 0.0058176240307132
ADAM19 0 0 6.9063e-06 2.86255419323663e-06 0.03773136591418 0.00114011361686371
ADAM2 0 0 1.04146e-10 1.80480735297625e-06 0.271129343351056 0.00813523341944767
ADAM20 0 0 2.87414e-07 1.07698298190392e-06 0.43415239947296 0.0129633285086503
ADAM20P1 0 0 1.04146e-10 4.50806975691114e-08 0.967609411136346 0.0284388007725843
ADAM21 0 0 1.04146e-10 1.08129722625246e-06 0.456134113488816 0.0136107456695813
