geneName dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof dn_damaging_ID dn_lof_ID dn_damaging_DD dn_lof_DD dn_damaging_ASD dn_lof_ASD dn_silentCFPK_SCZ dn_damaging_SCZ dn_lof_SCZ mut_silentCFPK dn_lof_CHD dn_damaging_CHD
ACSL1 0 0 6.96701e-06 2.47098679482337e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSL3 0 0 7.10114e-06 2.13835769228969e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSL5 0 0 6.3562e-06 1.96464868727232e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSL6 0 0 7.97776e-06 2.40128000886643e-06 0 0 0 0 0 0 0 0 0 4.14373e-07 0 0
ACSM1 0 0 1.53003e-06 1.77909724205067e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSM2A 0 0 1.54734e-06 2.1581761561853e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSM2B 0 0 1.35597e-06 2.16255018729173e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSM3 0 0 4.41505e-06 1.8568105713051e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSM4 0 0 1.04146e-10 1.73768662173863e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACSM5 0 0 4.43104e-06 1.62664342539793e-06 0 0 0 0 1 0 0 0 0 1.11606e-10 0 0
ACSS1 0 0 8.79657e-06 1.8429381381756e-06 0 0 0 1 0 0 0 0 0 3.73136e-06 0 0
ACSS2 0 0 8.83546e-06 1.97943565535435e-06 0 0 0 0 0 0 0 0 0 1.88214e-06 0 0
ACSS3 0 0 5.43732e-06 1.83191721991759e-06 0 0 0 0 0 0 0 0 0 2.46231e-06 0 0
ACTA1 0 0 1.85227e-06 7.9472013035454e-07 0 0 0 0 0 0 0 0 0 3.86378e-06 0 0
ACTA2 0 0 1.04146e-10 9.28874509028565e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTB 0 0 1.04146e-10 6.11804830205345e-07 0 0 0 0 0 0 0 0 0 1.73512e-06 0 0
ACTBL2 0 0 1.04146e-10 6.86552631526265e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTC1 0 0 1.04146e-10 6.17026450101125e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTG1 0 0 1.04146e-10 9.10489465014875e-07 0 0 0 0 0 0 0 0 0 3.24256e-06 0 0
ACTG2 0 0 1.04146e-10 8.4393437238282e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTL10 0 0 1.2473e-06 3.35244592893949e-07 0 0 0 0 0 0 0 0 0 7.10833e-06 0 0
ACTL6A 0 0 2.84944e-06 1.23191493108438e-06 0 1 0 0 0 0 0 0 0 4.40575e-07 0 0
ACTL6B 0 0 4.91297e-06 1.63136664617172e-06 0 0 0 0 0 0 0 0 0 1.48112e-06 0 0
ACTL7A 0 0 4.02737e-06 6.80155603764895e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTL7B 0 0 1.67978e-07 4.3227659496182e-07 0 0 0 0 0 0 0 0 0 2.31992e-06 0 0
ACTL8 0 0 9.06025e-07 6.776485141164e-07 0 0 0 0 0 0 0 0 0 3.62293e-06 0 0
ACTL9 0 0 7.69216e-07 5.3587650992674e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTN1 0 0 1.44597e-05 2.77935932277808e-06 0 0 0 0 0 0 0 1 0 3.62873e-06 0 0
ACTN1-AS1 0 0 1.04146e-10 1.36780807540658e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTN2 0 0 1.41834e-05 2.22587158238494e-06 0 0 0 0 0 0 0 0 0 9.6638e-07 0 0
ACTN3 0 0 1.04146e-10 9.13820183842555e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ACTN4 0 0 1.15614e-05 2.26669071938485e-06 0 0 0 0 0 0 0 0 0 1.36424e-05 0 0
ACTR10 0 0 2.08455e-06 1.17195652247144e-06 0 0 0 0 0 0 0 0 0 9.41991e-07 0 0
ACTR1A 0 0 5.10889e-06 1.53291509212562e-06 0 0 0 0 0 0 0 0 0 6.37803e-07 0 0
ACTR1B 0 0 7.21523e-06 1.41281031836043e-06 0 0 0 0 0 0 0 0 0 7.75484e-07 0 0
ACTR2 0 0 1.74723e-06 1.55849404820161e-06 0 0 0 0 0 0 0 0 0 5.12838e-07 0 0
ACTR3 0 0 4.1531e-06 1.28419301184882e-06 0 0 0 0 0 0 0 0 0 4.16423e-07 0 0
